PATO:0001744	XCO:0000038	0.05	0.05	0.85	0.05
SCTID:125576007	XCO:0000039	0.05	0.05	0.85	0.05
SCTID:125576007	ZECO:0000148	0.05	0.05	0.85	0.05
SCTID:17871006	XCO:0000046	0.05	0.05	0.85	0.05
SCTID:17871006	ZECO:0000155	0.05	0.05	0.85	0.05
SCTID:285323007	XCO:0000044	0.05	0.05	0.85	0.05
SCTID:285323007	ZECO:0000152	0.05	0.05	0.85	0.05
SCTID:30821001	XCO:0000045	0.05	0.05	0.85	0.05
SCTID:30821001	ZECO:0000145	0.05	0.05	0.85	0.05
SCTID:41355003	XCO:0000042	0.1	0.1	0.7	0.1
SCTID:76772003	XCO:0000040	0.1	0.1	0.7	0.1
SCTID:82107009	XCO:0000038	0.05	0.05	0.85	0.05
XCO:0000039	ZECO:0000148	0.05	0.05	0.85	0.05
XCO:0000040	ZECO:0000149	0.05	0.05	0.85	0.05
XCO:0000043	ZECO:0000150	0.05	0.05	0.85	0.05
XCO:0000044	ZECO:0000152	0.05	0.05	0.85	0.05
XCO:0000045	ZECO:0000145	0.05	0.05	0.85	0.05
XCO:0000046	ZECO:0000155	0.05	0.05	0.85	0.05
XCO:0000179	ZECO:0000151	0.05	0.05	0.85	0.05
XCO:0000180	ZECO:0000154	0.05	0.05	0.85	0.05
XCO:0000283	ZECO:0000153	0.05	0.05	0.85	0.05
XCO:0000284	ZECO:0000153	0.25	0.05	0.55	0.15
